feature,importance
BMI,0.17252397762926402
Age,0.13007597675474872
GenHlth,0.09186984644735131
Income,0.08826432789911812
PhysHlth,0.07333802839239474
HighBP,0.07304185145173575
Education,0.061789664604260615
MentHlth,0.055015924900938235
HighChol,0.036153813705079585
Smoker,0.02982187382109013
Fruits,0.029474050213122042
Sex,0.0250423538449901
PhysActivity,0.023699348790492986
Veggies,0.023301092838033912
DiffWalk,0.022596630695564168
HeartDiseaseorAttack,0.01733939406772609
NoDocbcCost,0.012837855351412046
Stroke,0.010179474310618166
HvyAlcoholConsump,0.009509152045686921
AnyHealthcare,0.007810014289605969
CholCheck,0.0063153479467663864
