Feature,Mean_Absolute_SHAP
BMI,0.08173192956585947
HighBP,0.07494018784898726
GenHlth,0.07191400015612838
HighChol,0.049060159477288895
Age,0.04458568600134138
Income,0.036501887478996055
PhysHlth,0.029345715496671396
Education,0.026476264133751003
DiffWalk,0.024685152008003017
MentHlth,0.02466695663898902
HeartDiseaseorAttack,0.018647271126938585
Sex,0.01829153671824669
Smoker,0.014333131404645013
Fruits,0.013621536065114435
PhysActivity,0.012961401678772288
Veggies,0.010719386647464723
HvyAlcoholConsump,0.006684688913880263
NoDocbcCost,0.006091886609361965
Stroke,0.005992788305640343
CholCheck,0.00424902655211879
AnyHealthcare,0.002997494359626426
